state,known_by,status_raw,previous_status_raw,plan_id,event_type,status_after,in_effect_for_2026,date_basis,source_url,notes,_resolution_days,_looks_like_rewording,_first_observation,_page,_evidence
AR,2025-07-31,Previous districts left in place,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Arkansas | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | In the case Christian Ministerial Alliance v. Thurston, the plaintiffs alleged racial gerrymandering diluting the voting power of Black voters by splitting Little Rock into three districts; the case was heard in a f"
AR,2025-10-24,Districts left in place,Previous districts left in place,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,yes,,2026 United States House of Representatives elections,"!Arkansas | data-sort-value=3 bgcolor=""#808080"" | Districts left in place | In Christian Ministerial Alliance v. Thurston, plaintiffs alleged racial gerrymandering diluting the voting power of black voters by splitting Little Rock into three districts; the case was heard in a federal district court,"
CA,2025-08-09,Pending legislative action,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!California | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | In response to Texas, a new map is being considered in California that would create five new Democratic seats and shore up existing Democratic seats. However, due to the state's independent commission, the map would be "
CA,2025-08-17,Pending legislative action and referendum,Pending legislative action,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!California | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action and referendum | In response to Texas, a new map is being considered in California that would create five new Democratic seats and shore up existing Democratic seats. However, due to the state's independent commission, th"
CA,2025-08-21,Pending referendum,Pending legislative action and referendum,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!California | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending referendum | In response to Texas, a new map is being considered in California that would create five new Democratic seats and shore up existing Democratic seats. However, due to the state's independent commission, the map would be on a 202"
CA,2025-11-05,New districts enacted,Pending referendum,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!California | data-sort-value=0 bgcolor=""#C0C0C0"" | New districts enacted | In response to Texas, a new map has been approved by voters in a special Statewide election temporarily permitting an off-cycle redistricting. The state's constitution prohibits the California State Legislature from drawing "
FL,2025-07-31,Previous districts left in place,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Florida | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | A state circuit judge ruled in September 2023 that the map passed by the state legislature discriminated against Black voters by redrawing the formerly plurality-Black 5th district to no longer have a Black plurality"
FL,2025-11-16,Districts left in place,Previous districts left in place,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,yes,,2026 United States House of Representatives elections,"!Florida | data-sort-value=3 bgcolor=""#808080"" | Districts left in place | A state circuit judge ruled in September 2023 that the map passed by the state legislature discriminated against Black voters by redrawing the formerly plurality-Black 5th district to no longer have a Black plurality; Florida"
GA,2025-07-31,Litigation pending,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Georgia | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | A federal district judge ruled on October 26, 2023, that Georgia's districts are racially gerrymandered and ordered a new map with an additional majority-Black district. A new map was drawn for the 2024 elections; however, it is b"
IN,2025-10-27,Pending legislative action,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Indiana | Pending legislative action | Governor Mike Braun stated that the state legislature will convene for a special session on redistricting, along with other state issues such as taxes. | colspan=""3"""
LA,2025-07-31,Previous districts left in place,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Louisiana | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | The U.S. Supreme Court heard arguments challenging Louisiana's new congressional map drawn in 2024 which created another majority-Black congressional districts as a group of ""non-African American voters"" challenge "
LA,2025-10-14,Litigation pending,Previous districts left in place,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!Louisiana | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | The U.S. Supreme Court heard arguments challenging Louisiana's new congressional map, drawn in 2024, which created another majority-black congressional district, as a group of ""non-African American voters"" challenged the map as "
MO,2025-11-04,New districts enacted,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Missouri | data-sort-value=0 bgcolor=""#C0C0C0"" | New districts enacted | The Missouri Legislature passed maps to create a new safely Republican seat in the 5th district, and Governor Mike Kehoe signed the map into law on September 28, 2025. The maps may be blocked by a referendum if enough signatur"
NY,2025-10-30,Pending judicial action,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!New York | Pending judicial action | Voters in NY-11 filed a lawsuit on October 28th, 2025, claiming the Staten Island-based district illegally dilutes the power of Black and Hispanic voters in the district. | colspan=""3"""
NY,2025-11-01,Litigation pending,Pending judicial action,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!New York | Litigation pending | Voters in NY-11 filed a lawsuit on October 28, 2025, claiming the Staten Island-based district illegally dilutes the power of Black and Hispanic voters in the district. | colspan=""3"""
